Olaf-Ryes-plass	Birkelunden
Birkelunden	Biermanns-gate
Biermanns-gate	Torshov
Torshov	Sandaker-senter
Sandaker-senter	Grefsenveien
Grefsenveien	Storo
Storo	Grefsen-stasjon
Rikshospitalet	Gaustadalleen
Gaustadalleen	Forskningsparken
Forskningsparken	Universitetet-Blindern
Universitetet-Blindern	John-Colletts-plass
John-Colletts-plass	Ullevaal-sykehus
Ullevaal-sykehus	Adamstuen
Adamstuen	Stensgata
Stensgata	Bislett
Bislett	Dalsbergstien
Dalsbergstien	Welhavens-gate
Welhavens-gate	Holbergs-plass
Holbergs-plass	Tullinlokka
Tullinlokka	Tinghuset
Tinghuset	Stortorvet
Stortorvet	Jernbanetorget
Jernbanetorget	Brugata
Brugata	Hausmanns-gate
Hausmanns-gate	Heimdalsgata
Heimdalsgata	Lakkegata-skole
Lakkegata-skole	Sofienberg
Sofienberg	Carl-Berners-plass
Carl-Berners-plass	Rosenhoff
Rosenhoff	Sinsenterrassen
Sinsenterrassen	Sinsenkrysset
Sinsenkrysset	Grefsen-stasjon
Rikshospitalet	Gaustadalleen
Gaustadalleen	Forskningsparken
Forskningsparken	Universitetet-Blindern
Universitetet-Blindern	John-Colletts-plass
John-Colletts-plass	Ullevaal-sykehus
Ullevaal-sykehus	Adamstuen
Adamstuen	Stensgata
Stensgata	Bislett
Bislett	Dalsbergstien
Dalsbergstien	Welhavens-gate
Welhavens-gate	Holbergs-plass
Holbergs-plass	Tullinlokka
Tullinlokka	Tinghuset
Tinghuset	Stortorvet
Stortorvet	Jernbanetorget
Jernbanetorget	Bussterminalen-Gronland
Bussterminalen-Gronland	Munkegata
Munkegata	St.-Halvards-plass
St.-Halvards-plass	Oslo-Hospital
Oslo-Hospital	Sjomannsskolen
Sjomannsskolen	Jomfrubraaten
Jomfrubraaten	Sportsplassen-
Sportsplassen-	Holtet
Holtet	Sorli
Sorli	Kastellet
Kastellet	Braaten
Braaten	Saeter
Saeter	Ljabru
Uranienborg	Briskeby
Briskeby	Riddervolds-plass
Riddervolds-plass	Inkognitogata
Inkognitogata	Slottsparken
Slottsparken	Nationaltheatret
Nationaltheatret	Wessels-plass
Wessels-plass	Dronningens-gate
Dronningens-gate	Jernbanetorget
Jernbanetorget	Bussterminalen-Gronland
Bussterminalen-Gronland	Munkegata
Munkegata	St.-Halvards-plass
St.-Halvards-plass	Oslo-Hospital
Oslo-Hospital	Sjomannsskolen
Sjomannsskolen	Jomfrubraaten
Jomfrubraaten	Sportsplassen
Sportsplassen	Holtet
Holtet	Sorli
Sorli	Kastellet
Kastellet	Braaten
Braaten	Saeter
Saeter	Ljabru
